date,actual_demand,predicted_demand,lower_bound,upper_bound,baseline_prediction,optimal_quantity,baseline_quantity,optimized_waste_realized,baseline_waste_realized,optimized_shortage_realized,baseline_shortage_realized,optimized_cost_inr,baseline_cost_inr,daily_cost_saving_inr
2026-02-02,2857.0,2817.272714552191,2437.503454045182,3197.0419750591996,3223.3928571428573,2883,3223,26.0,366.39285714285734,0.0,0.0,910.0,12823.750000000007,11913.750000000007
2026-02-03,2797.0,2793.03803387887,2410.2219800168195,3175.8540877409205,3360.7142857142853,2859,3361,62.0,563.7142857142853,0.0,0.0,2170.0,19729.999999999985,17559.999999999985
2026-02-04,2721.0,2684.327353471418,2303.8181834056736,3064.8365235371625,3393.0357142857147,2750,3393,29.0,672.0357142857147,0.0,0.0,1015.0,23521.250000000015,22506.250000000015
2026-02-05,2636.0,2620.226373042481,2240.2710163794977,3000.1817297054645,3416.6071428571427,2686,3417,50.0,780.6071428571427,0.0,0.0,1750.0,27321.249999999993,25571.249999999993
2026-02-06,2680.0,2715.617063068095,2332.83349962792,3098.40062650827,3343.3928571428573,2782,3343,102.0,663.3928571428573,0.0,0.0,3570.0,23218.750000000007,19648.750000000007
2026-02-07,2327.0,2260.2482380451065,1874.2446712550468,2646.2518048351662,3357.1428571428573,2327,3357,0.0,1030.1428571428573,0.0,0.0,0.0,36055.00000000001,36055.00000000001
2026-02-08,2537.0,2582.5730654359427,2196.6523177455106,2968.493813126375,3307.6785714285716,2649,3308,112.0,770.6785714285716,0.0,0.0,3920.0,26973.750000000004,23053.750000000004
2026-02-09,3060.0,3010.7977327543167,2623.1132794817704,3398.482186026863,3313.3928571428573,3078,3313,18.0,253.39285714285734,0.0,0.0,630.0,8868.750000000007,8238.750000000007
2026-02-10,2612.0,2636.3403597105353,2255.5653943981747,3017.115325022896,3349.6428571428573,2702,3350,90.0,737.6428571428573,0.0,0.0,3150.0,25817.500000000007,22667.500000000007
2026-02-11,2806.0,2689.9245577653905,2309.1286847740407,3070.7204307567404,3316.6071428571427,2756,3317,0.0,510.60714285714266,50.0,0.0,2750.0,17871.249999999993,15121.249999999993
2026-02-12,2823.0,2856.020789513901,2469.1188335072798,3242.9227455205223,3331.7857142857147,2923,3332,100.0,508.7857142857147,0.0,0.0,3500.0,17807.500000000015,14307.500000000015
2026-02-13,2712.0,2566.5790671003897,2186.3732085104975,2946.784925690282,3365.1785714285716,2632,3365,0.0,653.1785714285716,80.0,0.0,4400.0,22861.250000000004,18461.250000000004
2026-02-14,3003.0,2891.359153804543,2490.9129883740134,3291.8053192350726,3370.8928571428573,2961,3371,0.0,367.89285714285734,42.0,0.0,2310.0,12876.250000000007,10566.250000000007
2026-02-15,2068.0,2217.3884432138584,1831.7188045518897,2603.058081875827,3491.6071428571427,2284,3492,216.0,1423.6071428571427,0.0,0.0,7560.0,49826.24999999999,42266.24999999999
2026-02-16,2915.0,3013.932206188947,2625.240659294172,3402.623753083722,3407.8571428571427,3081,3408,166.0,492.85714285714266,0.0,0.0,5810.0,17249.999999999993,11439.999999999993
2026-02-17,2656.0,2694.6242799941265,2310.0832546785414,3079.1653053097116,3381.9642857142853,2761,3382,105.0,725.9642857142853,0.0,0.0,3675.0,25408.749999999985,21733.749999999985
2026-02-18,2653.0,2726.669105677336,2345.8194097277224,3107.51880162695,3389.8214285714284,2793,3390,140.0,736.8214285714284,0.0,0.0,4900.0,25788.749999999996,20888.749999999996
2026-02-19,2587.0,2575.1403748767725,2192.9893683618507,2957.2913813916944,3362.5,2641,3362,54.0,775.5,0.0,0.0,1890.0,27142.5,25252.5
2026-02-20,2557.0,2517.8897998845478,2137.335296064514,2898.4443037045817,3320.3571428571427,2584,3320,27.0,763.3571428571427,0.0,0.0,945.0,26717.499999999993,25772.499999999993
2026-02-21,2617.0,2641.470455907386,2261.641821213106,3021.299090601666,3292.6785714285716,2707,3293,90.0,675.6785714285716,0.0,0.0,3150.0,23648.750000000004,20498.750000000004
2026-02-22,2073.0,2107.2627153400385,1723.9671188375087,2490.5583118425684,3223.75,2174,3224,101.0,1150.75,0.0,0.0,3535.0,40276.25,36741.25
2026-02-23,2935.0,3010.7426486226877,2622.181179682542,3399.3041175628337,3224.6428571428573,3078,3225,143.0,289.64285714285734,0.0,0.0,5005.0,10137.500000000007,5132.500000000007
2026-02-24,2845.0,2659.3746773620624,2279.0740001948234,3039.6753545293013,3228.2142857142853,2725,3228,0.0,383.2142857142853,120.0,0.0,6600.0,13412.499999999985,6812.499999999985
2026-02-25,2622.0,2680.1422777855078,2299.5712105862262,3060.7133449847893,3261.9642857142853,2746,3262,124.0,639.9642857142853,0.0,0.0,4340.0,22398.749999999985,18058.749999999985
2026-02-26,2635.0,2708.2335327041965,2327.032755635821,3089.434309772572,3256.4285714285716,2774,3256,139.0,621.4285714285716,0.0,0.0,4865.0,21750.000000000004,16885.000000000004
2026-02-27,2637.0,2537.6389690839715,2156.6852410738793,2918.5926970940636,3265.0,2604,3265,0.0,628.0,33.0,0.0,1815.0,21980.0,20165.0
2026-02-28,2047.0,2084.241748582729,1694.3048926376885,2474.1786045277695,3279.2857142857147,2152,3279,105.0,1232.2857142857147,0.0,0.0,3675.0,43130.000000000015,39455.000000000015
2026-03-01,2631.0,2425.734121848411,2032.8402067686775,2818.628036928145,3177.5,2494,3178,0.0,546.5,137.0,0.0,7535.0,19127.5,11592.5
2026-03-02,3125.0,3055.475512128259,2666.368891352283,3444.5821329042356,3277.1428571428573,3123,3277,0.0,152.14285714285734,2.0,0.0,110.0,5325.000000000007,5215.000000000007
2026-03-03,2767.0,2632.612909551579,2252.024204697426,3013.201614405732,3311.0714285714284,2698,3311,0.0,544.0714285714284,69.0,0.0,3795.0,19042.499999999996,15247.499999999996
2026-03-04,2816.0,2698.7350716416745,2316.989308952296,3080.480834331053,3297.1428571428573,2765,3297,0.0,481.14285714285734,51.0,0.0,2805.0,16840.000000000007,14035.000000000007
2026-03-05,2560.0,2633.3927489128173,2251.7436756587445,3015.04182216689,3331.7857142857147,2699,3332,139.0,771.7857142857147,0.0,0.0,4865.0,27012.500000000015,22147.500000000015
2026-03-06,2621.0,2714.1215759199404,2330.2084196208225,3098.0347322190582,3318.3928571428573,2780,3318,159.0,697.3928571428573,0.0,0.0,5565.0,24408.750000000007,18843.750000000007
2026-03-07,2410.0,2292.505704540563,1906.088507295457,2678.9229017856687,3315.5357142857147,2359,3316,0.0,905.5357142857147,51.0,0.0,2805.0,31693.750000000015,28888.750000000015
