feature,importance
is_holiday,0.5530747776181815
attendance_variation,0.17042141885659498
menu_type_light_weekend,0.13701223454971884
is_exam_week,0.04670336962823057
menu_type_protein_rich,0.017802732105557217
weekend_flag,0.015496927137272978
day_of_week_Monday,0.009047412241092914
lag_7,0.00526180408282559
day_of_week_Friday,0.005114498076778631
day_of_week_Sunday,0.004862199929268673
temperature,0.004572987192694928
lag_1,0.0037725439020047397
lag_14,0.003585242879340229
lag_3,0.0035292931956208973
rolling_std_7,0.002551234257871792
rolling_mean_7,0.002409001415622752
rolling_mean_14,0.0020128660465721293
menu_type_regional_special,0.0019434780131799665
menu_type_festive,0.0018342128892764472
month,0.0016439320457572598
rainfall,0.0011622512125818742
menu_type_regular,0.0009830543624388041
menu_type_comfort_food,0.0008287202568493054
season_winter,0.0007420233518001076
day_of_week_Tuesday,0.0006618986640671938
season_summer,0.0006560717804286473
day_of_week_Saturday,0.0006150499004461226
season_monsoon,0.0004833133045865052
season_autumn,0.0004585378162992664
day_of_week_Wednesday,0.00043584929040001684
day_of_week_Thursday,0.0003210639966390224
